2026-01-25 01:05:14,266 INFO  [restartedMain] com.visionrent.VisionrentApplication:Starting VisionrentApplication using Java 17.0.12 with PID 18352 (C:\Users\Administrator\visionrent\target\classes started by Administrator in C:\Users\Administrator\visionrent)
2026-01-25 01:05:14,269 INFO  [restartedMain] com.visionrent.VisionrentApplication:No active profile set, falling back to 1 default profile: "default"
2026-01-25 01:05:14,297 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-01-25 01:05:14,297 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor:For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-01-25 01:05:14,923 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-25 01:05:14,966 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 35 ms. Found 3 JPA repository interfaces.
2026-01-25 01:05:15,437 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat initialized with port 8080 (http)
2026-01-25 01:05:15,445 INFO  [restartedMain] org.apache.catalina.core.StandardService:Starting service [Tomcat]
2026-01-25 01:05:15,445 INFO  [restartedMain] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/10.1.30]
2026-01-25 01:05:15,477 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
2026-01-25 01:05:15,478 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:Root WebApplicationContext: initialization completed in 1180 ms
2026-01-25 01:05:15,638 INFO  [restartedMain] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-25 01:05:15,680 INFO  [restartedMain] org.hibernate.Version:HHH000412: Hibernate ORM core version 6.5.3.Final
2026-01-25 01:05:15,700 INFO  [restartedMain] org.hibernate.cache.internal.RegionFactoryInitiator:HHH000026: Second-level cache disabled
2026-01-25 01:05:15,877 INFO  [restartedMain] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo:No LoadTimeWeaver setup: ignoring JPA class transformer
